
Title,Agency,Period,
Himalaya for the future – Action Plans for Sustainability of Landscape and People,IUCN - India,June 2022 -March 2023,
Implementing Sustainable Agriculture in select locations across the Ganga River basin for Climate Change Adaptation and Resilience,IUCN - India,October 2023 - June 2024,
Mapping Potential other Effective,IUCN - India,2025,
,Area-Based Conservation Measures (OECMs) in the Indian Himalayan Region,,
Planning and management for aquatic species conservation and maintenance of ecosystem services in the Ganga River Basin for a clean Ganga,"National Mission for Clean Ganga, Ministry of Jal Shakti, Government of India ",2019-26,
Jalaj – Connecting people and people to realize Arth Ganga,"National Mission for Clean Ganga, Ministry of Jal Shakti, Government of India",2022-26,
Assessment of the Ecological Status of select Indian Rivers for Conservation Planning,"National River Conservation Directorate, Ministry of Jal Shakti, Government of India",2021-26,
Connecting the dots: finding dispersal corridors for large mammals in Kaziranga – Karbi Anglong landscape,"National Tiger Conservation Authority, Government of India",2019-22,
Promoting community participation in conservation and conflict resolution in the fringe villages of Kaziranga Tiger Reserve through Eco development.,"National Tiger Conservation Authority, Government of India",2019-22,
Conservation of Manipur’s Brown Antlered Deer or Sangai: An Integrated Approach,"National CAMPA Ministry of Environment, Forest and Climate Change, GOI",2016-21,
Dissemination and evaluation of technologies through networking of various institutes and organization of mountain ecosystem,"Department of Science and Technology, Government of India",2017-20,
Landscape sustainability challenges in proposed Similipal - Satkosia corridor region due to collective mining regime: mining-wildlife habitat linkages and impacts,"Ministry of Environment, Forest and Climate Change, ",2019-21,
,,Government of India,,
Ecological monitoring of Chambal river basin with special reference to water requirement of key aquatic species,"Wildlife Institute of India, ",2017-20,
,,Grant-in-aid ,,
Biodiversity Conservation and Ganga Rejuvenation,"National Mission for Clean Ganga, Ministry of Jal Shakti, Government of India  ",2016-19,
"Management of invasive species in wet grasslands of Kaziranga Tiger Reserve, Assam","National Tiger Conservation Authority, Government of India",2018-21,
Biodiversity Assessment of Gautam Buddha Wildlife Sanctuary in Hazaribagh and Gaya District,Dedicated Freight Corridor ,2017-19,
"The distribution pattern, habitat use and movement of breeding water birds with respect to Black necked cranes and Bar-headed geese using telemetry in Changthang Cold Desert Sanctuary and Gharana Wetland Reserve","Ministry of Environment, Forest and Climate Change, Government of India",2009-19,
Assessing potential of community participation in biodiversity conservation of Kalesar and proposed Kund Community Reserve,Haryana Forest Department,2015-17,
Landscape sustainability challenges in Western Singhbhum region due to collective mining regime: Mining wildlife habitat linkages and impacts,"Ministry of Environment Forest and Climate Change, Government of India",2015-17,
Evaluation of ecosystem services including the hydrologic and carbon ecosystem services of Munnar Landscape,United Nations Development Programme,2014-15,
Genetic Assessment of Sambar Rusa Unicolor population in North East India,Department of Science and Technology-Science and Engineering Research Board ,2014-17,
"Management planning of Kusheshwarasthan and Baraila Bird Sacctuaries, Bihar",Bihar Forest Department,2014-16,
Pattern of biomass production by wetlands and it's use by wild ungulates in Kaziranga Landscape,Department of Science and Technology-Science and Engineering Research Board,2013-16,
Promoting livelihood security and community participation in forest conservation in fringes of Kedarnath Wildlife Sanctuary,Uttarakhand State Council for Science and Technology,2013-15,
Economics of living in the wild: cost-benefit analysis for the forest corridor linking the Rajaji and the Corbett National Parks,"South Asian Network for Development and Environmental Economics, Nepal",2012-15,
Valuation of rangelands: livestock production function of the rangelands of the Hindu-Kush Himalayas,"International Centre for Integrated Mountain Development, Nepal",2011-12,
Assessment of impact of sand mining in Uttarakhand,Uttarakhand Forest Department,2011-12,
Integrated Development of wildlife habitat- Sangai,Govt. of Manipur,2010-13,
Assessment of policies and institutional arrangement in the Indian Hindu Kush Himalayas,"International Centre for Integrated Mountain Development, Nepal",2010-11,
Management planning of Okhla Bird Sanctuary,Uttar Pradesh Forest Department,2009-11,
An integrated approach to reduce the vulnerability of local community to climate change impacts and environmental hazards in western Himalayas,"Wildlife Institute of India,",2006-11,
,,Grant-in-aid,
Conservation ecology of Sangai and its wetland habitat,"Wildlife Institute of India, ",2005-11,
,,Grant-in-aid,
Valuation of Bhitarknika mangrove,Indira Gandhi Institute of Development Research,2001-03,
,ecosystem for ecological security and sustainable resource use,,,
Ecology of otters in Corbett Tiger Reserve: Impact of Kalagarh reservoir on the habitat use pattern,"Wildlife Institute of India, ",2000-04,
,,Grant-in-aid,
