Title,Authors,Image_URL,link
Land Use Land Cover Assessment of a Protected Area Complex in Western Terai Arc Landscape of India,"Kumari , P., Mani, A., Rana, S., Badola, R., & Hussain, S. A.",https://rivres.in/Other_Photos/Publication_image/cover_issue_9718_en_US.jpg,https://indianforester.co.in/index.php/indianforester/article/view/170900
Mapping the Distribution and Discharge of Plastic Pollution in the Ganga River,"Sharma, E., Ramachandran, A., Dobriyal, P., Badola, S., Koldewey, H., Hussain, S. A., & Badola, R.",https://rivres.in/Other_Photos/Publication_image/cover_sustainability_v17_i11.png,https://www.mdpi.com/2071-1050/17/11/4932
Delineation and Mapping of Riverine Wetlands in the Middle Ganga River using Geospatial Technology,"Ali, S.Z., Guha, S., Mani, A., Menon, A.N.R., Barthwal, S., Badola, R., Hussain, S. A.",https://rivres.in/Other_Photos/Publication_image/151_5_cover.jpg,https://indianforester.co.in/index.php/indianforester/article/view/170762
An annotated checklist of aquatic avifauna in the human-dominated middle stretch of the Ganga River,"Usmani AA, Gangaiamaran P, Mathur VB, Badola R, Hussain SA",https://rivres.in/Other_Photos/Publication_image/oo_145844.jpg,https://checklist.pensoft.net/article/136130/
"Mapping hotspots and unveiling drivers of mortality in the endangered Gangetic Dolphin (Platanista gangetica) to mitigate human-mediated conservation conflicts in the Ganga River Basin, India","Badola, R., Das, G. C., Sharma, S. P., Usmani, A. A., Barthwal, S., Badola, S., & Hussain, S. A.",https://rivres.in/Other_Photos/Publication_image/X15749541.jpg,
Verbena incompta: insights into its first recorded presence in the Doon valley's riverine habitats.,"Chaudhari, R. Y., Khan, U., Jadhav, M. R., Adhikari, B. S., Hussain, S. A.,& Badola, R.",https://rivres.in/Other_Photos/Publication_image/final_cover_front.jpg,
Assessment of fluvial stressor dynamics and riverine habitat resilience to environmental flow in the middle Ganga River,"Ali, S.Z., Mani, A., Guha, & Hussain S.A.",https://rivres.in/Other_Photos/Publication_image/Discover_Applied_Sciences_7.jpg,
"Nest thermal dynamics and predicted sex ratio in endemic freshwater crocodylian, gharial (Gavialis gangeticus) in Chambal River, India","Sharma, S.P., Katdare, S., Badola, R. & Hussain S.A.",https://rivres.in/Other_Photos/Publication_image/Evolutionary_Ecology.jpg,
"GIS and AHP-based methods for river risk zone (RRZ) assessment: a case study of the Himalayan rivers in Doon Valley, Uttarakhand, India","Mani, A., Kumari, M. & Badola, R.",https://rivres.in/Other_Photos/Publication_image/Environmental_Science_and_Pollution_Research.jpg,
Urban Watershed Management in the Doon Valley: A Geospatial Assessment of Himalayan Watersheds,"Mani, A., Kumari, M. & Badola, R.",https://rivres.in/Other_Photos/Publication_image/Journal_of_Landscape_Ecology.jpg,
"A checklist of fishes of Haiderpur wetland, western Uttar Pradesh, India","Rana, R., J.A. Johnson & S.A. Hussain",https://rivres.in/Other_Photos/Publication_image/Journal_of_Threatened_Taxa.jpg,
"Documentation of Vulnerable Bull Shark (Carcharhinus leucas) Occurrence in the Hooghly River, East Coast of India","Das, G. C., Sharma, S. P., Tudu, S. & Hussain, S. A.",https://rivres.in/Other_Photos/Publication_image/journal_of_Wildlife_Sciences.jpg,
Conservation in action: Cost-effective UAVs and real-time detection of the globally threatened swamp deer (Rucervus duvaucelii),"Tripathi, R. N., Agarwal, K., Tripathi, V., Badola, R., & Hussain, S. A.",https://rivres.in/Other_Photos/Publication_image/Ecological_Informations.jpg,
Remote sensing and GIS-based assessment of Song watershed for watershed management: A case study from the Indian Himalayan region,"Mani, A., Kumari, M., & Badola, R. 2024. ENVIS Bulletin Himalayan Ecology, 32.",https://rivres.in/Other_Photos/Publication_image/cover_sustainability_v17_i11.png,
Addressing the issues of ghost gear in the Ganga River through an incentive-based institutional mechanism.,"Badola, S., Gill, A. K., Dobriyal, P., Patel, S., Khan, M. Z., & Hussain, S. A. Frontiers in Conservation Science, 5, 1341434.",https://rivres.in/Other_Photos/Publication_image/Frontiers_in_conservation_science.jpg,
Optimizing Riparian Habitat Conservation: A Spatial Approach Using Aerial and Space Technologies,"Tripathi, R. N., Ramachandran, A., Tripathi, V., Badola, R., & Hussain S. A.",https://rivres.in/Other_Photos/Publication_image/IMAGE_ID__23_IEEE.jpg,
Morphometric analysis and LULC change dynamics of Nayar watershed for the sustainable watershed managemen,"Mani, A., Guha, S., Sharma, S., Ali, Sk. Z., Badola, R., & Hussain, S. A.",https://rivres.in/Other_Photos/Publication_image/discover_geoscience_id_22.webp,
"Population genetics of the critically endangered three-striped turtle, Batagur dhongoka, from the Ganga river system using mitochondrial DNA and microsatellite analysis","Kumar, A., Panda, A. K., Usmani, A. A., Yadav, P., Panwar, A. Badola, R., Hussain, S.A., & Gupta, S. K.",https://rivres.in/Other_Photos/Publication_image/img_id_13.png,
Population status and genetic assessment of mugger (Crocodylus palustris) in a tropical regulated river system in North India,"Sharma, S. P., Ghazi, M. G., Katdare, S., Badola, R., & Hussain, S. A.",https://rivres.in/Other_Photos/Publication_image/img_id_13.png,
"Feasibility study of UAV based ecological monitoring and habitat assessment of cervids in the floating meadows of Keibul Lamjao National Park in Manipur, India","Ravindra Nath Tripathi, Mirza Ghazanfarullah Ghazi, Ruchi Badola, Syed Ainul Hussain.2024/4/1.Measurement .Volume 229",https://rivres.in/Other_Photos/Publication_image/image_id_22_.jpg,
Lindernia tamilnadensis (Linderniaceae) from Indo-Gangetic plains: no more endemic to the Deccan,"Umama Khan, Revan Yogesh Chaudhari, Bhupendra Singh Adhikari, Syed Ainul Hussain, Ruchi Badola Publication date 2024/8/26 Journal Journal of Threatened Taxa Volume 16 Issue 8",https://rivres.in/Other_Photos/Publication_image/image_id_20_.jpg,
Tourism on the roof of the world: Socio-ecological impacts of tourism on the Indian Trans-Himalaya,"Neeraj Mahar, Pariva Dobriyal, Ruchi Badola, Syed Ainul Hussain.",https://rivres.in/Other_Photos/Publication_image/journal_of_land_use_policy.jpg,
"Observations on Indian Skimmer Rynchops albicollis Swainson, 1838 (Aves: Charadriiformes: Laridae) breeding colonies in Middle Ganges stretch, India.","Ankit, K., Ahmad, M., Ranjan, V., Kumar, S., Hussain, S. A., & Gopi, G. V.",https://rivres.in/Other_Photos/Publication_image/image_id_6.jpg,
"Local and species contribution of beta diversity of macrophytes in perspective of conservation and restoration of Ganga River, India.","Dey, D., Shruti, M., De, K., Adhikari, B. S., & Hussain, S. A.",https://rivres.in/Other_Photos/Publication_image/image_id_5.jpg,
Do dietary exposures to multi-class endocrine disrupting chemicals translate into health risks for Gangetic dolphins? An assessment and way forward,"Ruchika Sah 1, Gautam Talukdar 1, Megha Khanduri 1, Pooja Chaudhary 1, Ruchi Badola 1, Syed Ainul Hussain 1.",https://rivres.in/Other_Photos/Publication_image/image_id_17_.jpg,
Digital image processing: A new tool for morphological measurements of freshwater turtles under rehabilitation,"Panda, A. K., Verma V., Srivastav, A., Badola, R., & Hussain, S. A.",https://rivres.in/Other_Photos/Publication_image/image_id_4.png,
"Dietary exposure of potentially toxic elements to freshwater mammals in the Ganga river basin, India","Ruchika Sah 1, Megha Khanduri 1, Pooja Chaudhary 1, K Thomas Paul 2, Samridhi Gururani 1, Kirti Banwala 1, Chitra Paul 1, Mebin Aby Jose 1, Sarita Bora 1, Aishwarya Ramachandran 1, Ruchi Badola 1, Syed Ainul Hussain 3.",https://rivres.in/Other_Photos/Publication_image/environmnetal_pollution_351_1.jpg,
"Conservation planning for Gangetic dolphin (Platanista gangetica) in smaller rivers of the Ganga River Basin, India","Das, G. C., Usmani, A. A., Sharma, S. P., Guha, S., Ali, S. Z., Barthwal, S., Sarkar, A., Mahar, N., Rawat, A., Gokulakrishnan, G., Anwar, J., Behera, S.K., Badola, R., & Hussain, S. A.",https://rivres.in/Other_Photos/Publication_image/image_id_3.jpg,
"Willingness to Pay for forest corridor conservation: A contingent valuation study of Similipal-Satkosia corridor affected by mining in Odisha, India","Mohit Payal, Tanveer Ahmed, Syed Ainul Hussain, Ruchi Badola.",https://rivres.in/Other_Photos/Publication_image/IMAGE_ID_TREE_FOREST_AND_PEOPLE.jpg,
Unveiling the mysteries of Asian herbivores resource partitioning in tropical wet-grassland ecosystem,"A Devi, M Sharma, R Badola, SA Hussain Global Ecology and Conservation 54, e03079.",https://rivres.in/Other_Photos/Publication_image/image_id_x_.jpg,
"Genetic diversity, spatial connectivity, and population structure of Asian silurid catfish Wallago attu (Bloch and Schneider, 1801) in the Ganga River System: insights from mitochondrial DNA analysis","Ajit Kumar, Naveen Negi, Neha Yadav, Ruchi Badola, Syed Ainul Hussain & Sandeep Kumar Gupta.",https://rivres.in/Other_Photos/Publication_image/image_id_molecular_biology.jpg,
Bird monitoring intelligence: Integrating Thermal UAV Imagery and Deep Learning Tools.,"Tripathi, R. N., Ramachandran, A., Tripathi, V., Badola, R., & Hussain S. A.",https://rivres.in/Other_Photos/Publication_image/image_id_2_iies.jpg,
Landslide hazard zonation (LHZ) mapping of Doon Valley using multi-criteria analysis method based on remote sensing and GIS techniques,"Ashish Mani, Maya Kumari & Ruchi Badola.Discover Geoscience.Volume 2, article number 35,",https://rivres.in/Other_Photos/Publication_image/image_id_1_DISCOVERGEOSCIENCE.jpg,
β-diversity of odonate community of the Ganga River: partitioning and insights from local and species contribution,"De, K., Dey, D., Shruti, M., Uniyal, V. P., Adhikari, B. S., Johnson, J. A., & Hussain, S. A.",https://rivres.in/Other_Photos/Publication_image/image_id_7.png,
Population status and factors influencing the distribution of Critically Endangered gharial (Gavialis gangeticus) in a regulated unprotected river system in India,"Panda, A.K., Katdare, S., Gawan, S., Sharma, S.P., Badola, R., & Hussain, S.A.",https://rivres.in/Other_Photos/Publication_image/image_id_3.jpg,
Influence of anthropogenic factors on the waterbirds in Trans-Himalayan wetlands,"Neeraj Mahar, Bilal Habib, Syed Ainul Hussain, Tahir Shawl, Jigmet Takpa.2023/10/1.Journal Global Ecology and Conservation. Volume 46",https://rivres.in/Other_Photos/Publication_image/image_id_3.jpg,
Population status and factors influencing the distribution of Critically Endangered gharial (Gavialis gangeticus) in a regulated unprotected river system in India.,"Panda, A.K., Katdare, S., Gawan, S., Sharma, S.P., Badola, R., & Hussain, S.A.",https://rivres.in/Other_Photos/Publication_image/image_id_3.jpg,
Do we need to unfriend a few friends? Free-ranging dogs affect wildlife and pastoralists in the Indian Trans-Himalaya,"N. Mahar, B. Habib, S. A. Hussain.",https://rivres.in/Other_Photos/Publication_image/image_id_12_.jpg,
Can Bengal Tiger (Panthera tigris tigris) endure the future climate and land use change scenario in the East Himalayan Region? Perspective from a multiple model framework,"Jyotish Ranjan Deka, Sk. Zeeshan Ali, Mujahid Ahamad, Priyanka Borah, Govindan Veeraswami Gopi, Ruchi Badola, Rabindra Sharma, Syed Ainul Hussain.",https://rivres.in/Other_Photos/Publication_image/image_id_10_.jpg,
"Assessing and understanding diversity and foraging guilds of bird community structure in Gautam Buddha Wildlife Sanctuary, Bihar and Jharkhand, India","Umar Saeed, Mujahid Ahamad, Vivek Ranjan, Syed Ainul Hussain, Ruchi Badola.",https://rivres.in/Other_Photos/Publication_image/image_id_7_.png,
"Photographic evidence of the Indian Pangolin Manis crassicaudata Geoffroy, 1803 (Mammalia: Pholidota: Manidae), in Kaimur Wildlife Sanctuary, Bihar, India","Mujahid Ahamad, Umar Saeed, Vivek Ranjan, Syed Ainul Hussain, Ruchi Badola, S Kumarasamy.",https://rivres.in/Other_Photos/Publication_image/image_id_6_.jpg,
Spatial-temporal expansion and determinants of light pollution in India's riparian habitats,"Khanduri, M., Sah, R., Ramachandran, A., Hussain, S. A., Badola, R., Candolin, U., & Hölker, F.",https://rivres.in/Other_Photos/Publication_image/image_id_10.jpg,
"Westward range extension of Burmese Python Python bivittatus in and around the Ganga Basin, India: a response to changing climatic factors","Gangaiamaran, P., Usmani, A.A., Vishnu, C.S., Badola, R., & Hussain, S.A.",https://rivres.in/Other_Photos/Publication_image/image_id_21.jpg,
"Relationship between species richness, taxonomic distinctness, functional diversity, and local contribution to β diversity and effects of habitat disturbance in the riparian spider community of the Ganga River, India.","Kritish De, Amar Paul Singh, Arkojyoti Sarkar, Kritika Singh, Manju Siliwal, Virendra Prasad Uniyal & Syed Ainul Hussain",https://rivres.in/Other_Photos/Publication_image/image_id_9.png,
Evaluating Urban Topography and Land Use Changes for Urban River Management Using Geospatial Techniques,"Mani, A., Kumari, M., & Badola, R.",https://rivres.in/Other_Photos/Publication_image/image_19.png,
"Local and species contribution to the beta diversity and rarity of riparian spider community of the Ganga River, India.","De, K., Singh, A.P., Sarkar, A., Singh, K., Siliwal, M., Uniyal, V.P., & Hussain, S.A.",https://rivres.in/Other_Photos/Publication_image/image_id_8.jpg,
Imperiled Prancing Crane: Population Status and Breeding Performance of Black-Necked Crane Grus nigricollis in Trans-Himalayan Ladakh Region,"Neeraj Mahar, Bilal Habib, Syed Ainul Hussain, Tahir Shawl & Jigmet Takpa",https://rivres.in/Other_Photos/Publication_image/IMAGE_ID_23_JOURNAL_OF_PROCEEDINGS_OF_ZOOLOGICAL_SOCIETY.webp,
"A report on the butterfly (Lepidoptera: Rhopalocera) diversity of the Upper Ganga River Ramsar site in Uttar Pradesh, India","De, K., Kumar, K., Singh, A. P., Uniyal, V. P., & Hussain, S. A.",https://rivres.in/Other_Photos/Publication_image/image_id_12.png,
"The impact of climate change and potential distribution of the endangered white winged wood duck (Asarcornis scutulata, 1882) in Indian eastern Himalaya","Jyotish Ranjan Deka, Animekh Hazarika, Abhijit Boruah, Jyoti Prasad Das, Rubul Tanti, Syed Ainul Hussain",https://rivres.in/Other_Photos/Publication_image/NATURE_CONSERVATION.jpg,
"Seasonal pattern of food habits of large herbivores in riverine alluvial grasslands of Brahmaputra floodplains, Assam","Anita Devi, Syed Ainul Hussain, Monika Sharma, Govindan Veeraswami Gopi & Ruchi Badol",https://rivres.in/Other_Photos/Publication_image/img_id_13.png,
"First photographic evidence of Asiatic Black Bear Ursus thibetanus in Kaziranga Tiger Reserve, India","Priyanka Borah, Jyotish Ranjan Deka, Mujahid Ahamad, Rabindra Sharma, Ruchi Badola, Syed Ainul Hussain",https://rivres.in/Other_Photos/Publication_image/image_id_2_.png,
